bigram,count,codepoints,unicode_names
ဒ္,15977,U+1012 U+1039,MYANMAR LETTER DA | MYANMAR SIGN VIRAMA
သီ,15881,U+101E U+102E,MYANMAR LETTER SA | MYANMAR VOWEL SIGN II
ွက,15869,U+103D U+1000,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER KA
ၠာ,15839,U+1060 U+102C,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN AA
်း,15823,U+103A U+1038,MYANMAR SIGN ASAT | MYANMAR SIGN VISARGA
္စ,15788,U+1039 U+1005,MYANMAR SIGN VIRAMA | MYANMAR LETTER CA
တာ,15753,U+1010 U+102C,MYANMAR LETTER TA | MYANMAR VOWEL SIGN AA
၊က,15724,U+104A U+1000,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER KA
တန,15706,U+1010 U+1014,MYANMAR LETTER TA | MYANMAR LETTER NA
ယွ,15596,U+101A U+103D,MYANMAR LETTER YA | MYANMAR CONSONANT SIGN MEDIAL WA
သတ,15548,U+101E U+1010,MYANMAR LETTER SA | MYANMAR LETTER TA
ြေ,15368,U+103C U+1031,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN E
ဳဂ,15346,U+1033 U+1002,MYANMAR VOWEL SIGN MON II | MYANMAR LETTER GA
ဒိ,15251,U+1012 U+102D,MYANMAR LETTER DA | MYANMAR VOWEL SIGN I
ပၠ,15227,U+1015 U+1060,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ြဲ,15156,U+103C U+1032,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN AI
ံရ,15064,U+1036 U+101B,MYANMAR SIGN ANUSVARA | MYANMAR LETTER RA
ကအ,15055,U+1000 U+1021,MYANMAR LETTER KA | MYANMAR LETTER A
သက,15010,U+101E U+1000,MYANMAR LETTER SA | MYANMAR LETTER KA
ဲဒ,14945,U+1032 U+1012,MYANMAR VOWEL SIGN AI | MYANMAR LETTER DA
ေန,14925,U+1031 U+1014,MYANMAR VOWEL SIGN E | MYANMAR LETTER NA
းရ,14912,U+1038 U+101B,MYANMAR SIGN VISARGA | MYANMAR LETTER RA
ကိ,14845,U+1000 U+102D,MYANMAR LETTER KA | MYANMAR VOWEL SIGN I
ာယ,14844,U+102C U+101A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER YA
ျေ,14837,U+103B U+1031,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN E
ဟာ,14834,U+101F U+102C,MYANMAR LETTER HA | MYANMAR VOWEL SIGN AA
