bigram,count,codepoints,unicode_names
nd,35085,U+006E U+0064,LATIN SMALL LETTER N | LATIN SMALL LETTER D
ုာ,34971,U+102F U+102C,MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AA
ေု,34963,U+1031 U+102F,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN U
ဍာ,34956,U+100D U+102C,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AA
ea,34861,U+0065 U+0061,LATIN SMALL LETTER E | LATIN SMALL LETTER A
မတ,34639,U+1019 U+1010,MYANMAR LETTER MA | MYANMAR LETTER TA
ဂိ,34612,U+1002 U+102D,MYANMAR LETTER GA | MYANMAR VOWEL SIGN I
ဍိ,34414,U+100D U+102D,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN I
ဗေ,34145,U+1017 U+1031,MYANMAR LETTER BA | MYANMAR VOWEL SIGN E
ကမ,34088,U+1000 U+1019,MYANMAR LETTER KA | MYANMAR LETTER MA
ရု,33972,U+101B U+102F,MYANMAR LETTER RA | MYANMAR VOWEL SIGN U
၊ပ,33889,U+104A U+1015,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER PA
ံအ,33846,U+1036 U+1021,MYANMAR SIGN ANUSVARA | MYANMAR LETTER A
သဳ,33586,U+101E U+1033,MYANMAR LETTER SA | MYANMAR VOWEL SIGN MON II
it,33565,U+0069 U+0074,LATIN SMALL LETTER I | LATIN SMALL LETTER T
နက,33434,U+1014 U+1000,MYANMAR LETTER NA | MYANMAR LETTER KA
ာရ,33389,U+102C U+101B,MYANMAR VOWEL SIGN AA | MYANMAR LETTER RA
ှေ,33351,U+103E U+1031,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR VOWEL SIGN E
ဗ္,33023,U+1017 U+1039,MYANMAR LETTER BA | MYANMAR SIGN VIRAMA
ြာ,32921,U+103C U+102C,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN AA
of,32543,U+006F U+0066,LATIN SMALL LETTER O | LATIN SMALL LETTER F
ad,32535,U+0061 U+0064,LATIN SMALL LETTER A | LATIN SMALL LETTER D
ပၠ,32364,U+1015 U+1060,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL LA
းမ,32264,U+1038 U+1019,MYANMAR SIGN VISARGA | MYANMAR LETTER MA
္ဒ,32060,U+1039 U+1012,MYANMAR SIGN VIRAMA | MYANMAR LETTER DA
ေန,31981,U+1031 U+1014,MYANMAR VOWEL SIGN E | MYANMAR LETTER NA
ဏံ,31970,U+100F U+1036,MYANMAR LETTER NNA | MYANMAR SIGN ANUSVARA
ကိ,31926,U+1000 U+102D,MYANMAR LETTER KA | MYANMAR VOWEL SIGN I
ra,31607,U+0072 U+0061,LATIN SMALL LETTER R | LATIN SMALL LETTER A
ဗြ,31604,U+1017 U+103C,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL RA
လာ,31561,U+101C U+102C,MYANMAR LETTER LA | MYANMAR VOWEL SIGN AA
တဴ,31558,U+1010 U+1034,MYANMAR LETTER TA | MYANMAR VOWEL SIGN MON O
ri,31495,U+0072 U+0069,LATIN SMALL LETTER R | LATIN SMALL LETTER I
်ယ,31435,U+103A U+101A,MYANMAR SIGN ASAT | MYANMAR LETTER YA
တြ,31361,U+1010 U+103C,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL RA
ိန,31277,U+102D U+1014,MYANMAR VOWEL SIGN I | MYANMAR LETTER NA
ရး,30951,U+101B U+1038,MYANMAR LETTER RA | MYANMAR SIGN VISARGA
is,30642,U+0069 U+0073,LATIN SMALL LETTER I | LATIN SMALL LETTER S
တန,30599,U+1010 U+1014,MYANMAR LETTER TA | MYANMAR LETTER NA
