trigram,count,codepoints,unicode_names
ဃံၚ,1,U+1003 U+1036 U+105A,MYANMAR LETTER GHA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER MON NGA
အဝေ,1,U+1021 U+101D U+1031,MYANMAR LETTER A | MYANMAR LETTER WA | MYANMAR VOWEL SIGN E
ပ္လ,1,U+1015 U+1039 U+101C,MYANMAR LETTER PA | MYANMAR SIGN VIRAMA | MYANMAR LETTER LA
္လံ,1,U+1039 U+101C U+1036,MYANMAR SIGN VIRAMA | MYANMAR LETTER LA | MYANMAR SIGN ANUSVARA
ညဳဟ,1,U+100A U+1033 U+101F,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN MON II | MYANMAR LETTER HA
ဳကီ,1,U+1033 U+1000 U+102E,MYANMAR VOWEL SIGN MON II | MYANMAR LETTER KA | MYANMAR VOWEL SIGN II
ု၊ဆ,1,U+102F U+104A U+1006,MYANMAR VOWEL SIGN U | MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER CHA
၊ဆၜ,1,U+104A U+1006 U+105C,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER CHA | MYANMAR LETTER MON BBA
၀ကက,1,U+1040 U+1000 U+1000,MYANMAR DIGIT ZERO | MYANMAR LETTER KA | MYANMAR LETTER KA
ကကီ,1,U+1000 U+1000 U+102E,MYANMAR LETTER KA | MYANMAR LETTER KA | MYANMAR VOWEL SIGN II
ရရု,1,U+101B U+101B U+102F,MYANMAR LETTER RA | MYANMAR LETTER RA | MYANMAR VOWEL SIGN U
ါပရ,1,U+102B U+1015 U+101B,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER PA | MYANMAR LETTER RA
ပါဏ,1,U+1015 U+102B U+100F,MYANMAR LETTER PA | MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER NNA
