file,cluster_count,raw_text_length,nga_to_mon_nga_replacements,mon_half_stop_removed,mon_full_stop_removed,status
monnews/monnews_20260120_223250_453.txt,2711,7079,0,0,0,ok
monnews/monnews_20260120_223250_691.txt,783,2176,0,0,0,ok
monnews/monnews_20260120_223250_2275.txt,871,2226,0,0,0,ok
monnews/monnews_20260120_223250_926.txt,561,1393,0,0,0,ok
monnews/monnews_20260120_223250_892.txt,3197,7906,0,0,0,ok
monnews/monnews_20260120_223250_2545.txt,834,2052,0,0,0,ok
monnews/monnews_20260120_223250_3019.txt,848,2098,0,0,0,ok
monnews/monnews_20260120_223250_2208.txt,1312,3347,0,0,0,ok
monnews/monnews_20260120_223250_1743.txt,816,2168,0,0,0,ok
monnews/monnews_20260120_223250_2106.txt,664,1708,0,0,0,ok
monnews/monnews_20260120_223250_649.txt,677,1678,0,0,0,ok
monnews/monnews_20260120_223250_2378.txt,1027,2616,0,0,0,ok
monnews/monnews_20260120_223250_1668.txt,1270,3193,0,0,0,ok
monnews/monnews_20260120_223250_411.txt,124,335,0,0,0,ok
monnews/monnews_20260120_223250_3221.txt,887,2265,0,0,0,ok
monnews/monnews_20260120_223250_3003.txt,525,1308,0,0,0,ok
monnews/monnews_20260120_223250_554.txt,846,1920,0,0,0,ok
monnews/monnews_20260120_223250_1756.txt,852,2180,0,0,0,ok
monnews/monnews_20260120_223250_717.txt,3056,7632,0,0,0,ok
monnews/monnews_20260120_223250_758.txt,2994,7368,0,0,0,ok
monnews/monnews_20260120_223250_2475.txt,837,2064,0,0,0,ok
monnews/monnews_20260120_223250_2969.txt,643,1606,0,0,0,ok
monnews/monnews_20260120_223250_556.txt,24,114,0,0,0,ok
monnews/monnews_20260120_223250_2925.txt,720,1742,0,0,0,ok
monnews/monnews_20260120_223250_1622.txt,756,1984,0,0,0,ok
monnews/monnews_20260120_223250_300.txt,723,1788,53,0,0,ok
monnews/monnews_20260120_223250_1742.txt,1039,2625,0,0,0,ok
monnews/monnews_20260120_223250_3341.txt,653,1682,0,0,0,ok
monnews/monnews_20260120_223250_1519.txt,640,1593,0,0,0,ok
monnews/monnews_20260120_223250_1031.txt,3887,10260,0,0,0,ok
monnews/monnews_20260120_223250_2722.txt,897,2229,0,0,0,ok
monnews/monnews_20260120_223250_2931.txt,993,2518,0,0,0,ok
monnews/monnews_20260120_223250_3339.txt,676,1743,0,0,0,ok
monnews/monnews_20260120_223250_381.txt,861,2162,0,0,0,ok
monnews/monnews_20260120_223250_2000.txt,1169,2959,0,0,0,ok
monnews/monnews_20260120_223250_2914.txt,1272,3158,0,0,0,ok
monnews/monnews_20260120_223250_1172.txt,936,2430,0,0,0,ok
monnews/monnews_20260120_223250_3327.txt,751,1910,0,0,0,ok
monnews/monnews_20260120_223250_797.txt,3588,9153,0,0,0,ok
monnews/monnews_20260120_223250_2797.txt,924,2315,0,0,0,ok
monnews/monnews_20260120_223250_2092.txt,924,2412,0,0,0,ok
monnews/monnews_20260120_223250_917.txt,2789,7051,0,0,0,ok
monnews/monnews_20260120_223250_2531.txt,960,2296,0,0,0,ok
monnews/monnews_20260120_223250_3479.txt,1843,4505,0,0,0,ok
monnews/monnews_20260120_223250_1821.txt,1089,2664,0,0,0,ok
monnews/monnews_20260120_223250_404.txt,769,1903,0,0,0,ok
monnews/monnews_20260120_223250_1334.txt,16,63,0,0,0,ok
